"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bermuda","BMU","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.939998626709","","","","","","","","50.9700012207031","49.5800018310547","48.9300003051758","","48.7599983215332","52.5900001525879","54.1399993896484","56.3400001525879","56.3600006103516","58.2400016784668","","60.939998626709","62.4700012207031","64.4000015258789","61.25","62.6599998474121","63.0499992370605","63.4199981689453","64.7799987792969","68.1999969482422","67.629997253418","69.3899993896484","75.4829025268555","76.1023025512695","",
"Brazil","BRA","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","30.8700008392334","","","","","","14.3000001907349","","","","16.7199993133545","","","","","","","","","","","","","","","","","","","","","66.7600021362305","68.1100006103516","69.1399993896484","69.7399978637695","70.629997253418","72.2600021362305","73.1600036621094","74.0400009155273","74.9599990844727","","75.3600006103516","77.6500015258789","77.9400024414062","78.5500030517578","79.2200012207031","81.4800033569336","82.6399993896484","83.6900024414062","84.0800018310547","85.7300033569336","86.0299987792969","85.8099975585938","85.1365432739258","",
"Barbados","BRB","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.370002746582","","","","","","","","","","","","","","","99.7178039550781","99.5195922851562","99.4642486572266","99.1719970703125","99.2856674194336","","","","","",
"Brunei Darussalam","BRN","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.2900009155273","","","93.1808395385742","","","88.8177261352539","90.2055053710938","90.0489883422852","90.8339233398438","90.6189956665039","90.6846466064453","","",
"Bhutan","BTN","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4300003051758","","","","","32.3600006103516","","","","","","","",
"Botswana","BWA","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","5.19999980926514","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.0104141235352","88.6575469970703","89.253173828125","89.4666442871094","89.9594650268555","",
"Central African Republic","CAF","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","10.1199998855591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8433303833008","","","","","",
"Canada","CAN","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","80.1999969482422","","","","","","79.6399993896484","","","","","83.7200012207031","","","","","93.7799987792969","","","","","95.0599975585938","","","","","","","","","","","","","","","","","","","92.8302536010742","93.145133972168","93.5289535522461","93.7035903930664","93.9242706298828","94.2533645629883","94.4660949707031","94.8020858764648","95.1618194580078","95.113395690918","95.5116195678711","95.9441070556641","96.1069641113281","96.3000946044922","",
"Central Europe and the Baltics","CEB","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
